ID	Kanton (Canton)	Anstalt (institution)	Ort (city)	Anstaltszweck (Quelle)	Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8	Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8	Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8	Spezifikation Inhaber (Quelle) (specifications of the agencies according to source)	Trägerschaft (agencies, funding bodies)	Platzzahl (Quelle) (capacities according to source)	Platz (capacities)	Plätze Männer (Quelle) (capacities for the male gender according to source)	Plätze Frauen (Quelle) (capacities for the female gender according to the source)	Bemerkungen Plätze (Quelle) (remarks concerning capacities according to source)	Geschlecht (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified) = 4	Beschäftigung (types of forced labour)	Aufenthaltsbedingungen (Quelle) (terms of detention e.g. duration of stay/juridic coverage according to source)	Einweisende Behörden: 1 = Gerichte, 2 = Untersuchungsrichter, 3 = Staatsanwaltschaft, 4 = Jugendanwaltschaft, 5 = Regierungsrat, 6 = Administrativbehörde, 7 = Justizbehörde/Strafvollzugsbehörde, 8 = Polizeibehörde/Verhöramt, 9 = Armenbehörde/Fürsorgebehörde, 10 = Vormundschaftsbehörde, 11 = Bezirksämter/Statthalteramt, 12 = Amtsvormundschaft, 13 = Jugendämter, 14 = Private/Vereine/Kirchen- und Schulbehörden	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Konfession (denomination according to source)	Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik. (interdenominational) = 3; unbestimmt (not specified) = 4	Seelsorge (Quelle) (pastoral care according to source)	Gottesdienste (church services according to source)
AG98	Aargau	Staatliche Pestalozzistiftung Olsberg	Olsberg	Erziehung schwererziehbarer Knaben. Von der Jugendvormundschaft anerkannt als Schule für Verhaltensgestörte.	3				1	45	2	45			1	Schulbetrieb	Mindestalter: 7 Jahre, Höchstalter: 14 Jahre. In Ausnahmefällen können Jugendliche bis zu 2 Jahren über die Schulpflicht hinaus im Heim bleiben.	1	9	10				Jugendgerichte	Vormundschaftsbehörden	Fürsorgeämter								interkonfessionell	3	Prot.: Pfarrer von Kaiseraugst, kath.: Pfarrer von Mumpf, für Christkathl.: Pfarrer von Olsberg	Prot.: Besuch der Gottesdienste in Rheinfelden, kath. Besuch der Gottesdienste in Rheinfelden, für Christkath.: in Olsberg
AG99	Aargau	Kinderheim St. Benedikt	Hermetschwil	Erziehung milieugeschädigter, charakterlich schwieriger und verwahrloster Kinder. Vom Kanton benütztes Heim für Einweisungen im Sinne des Massnahmenvollzugs.	3			Privates Heim mit staatlicher Unterstützung für Neu- und Umbauten, jährlicher Staatsbeitrag an die Betriebskosten, Verein Kinderheim St. Benedikt Hermetschwil	3	100	4			60 Schulkinder, 40 Kleinkinder	3	Betrieb einer Hilfsschule, Handfertigkeit, Gartenarbeit	Aufnahme ab Kleinkind, Entlassung meistens mit Schulpflichtende, Hilfsschüler mit IQ von 0,75-0,90	4	9	12	13			Jugendanwaltschaft	Jugendämter	Jugendfürsorgevereine	Amtsvormundschaftsbehörden							katholisch	2	Kath.: Ortspfarrer	Kath.: Christenlehre und Sonntagsmesse obligatorisch, Besuch der Schulmesse zweimal wöchentlich
AI03	Appenzell Innerrhoden	Gefängnis im Kanzleigebäude	Appenzell	Untersuchungshaft, Vollzug kurzfristiger Haft- und Gefängnisstrafen	5				1	6	1			Männer und Frauen	3	keine	Nach Haftbefehl, nach Vollzugsverfügung	2	3	7	8			Untersuchungsrichter	Staatsanwalt	Justiz- und Polizeidepartement als Strafvollzugsbehörde								interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: keine Gottesdienstmöglichkeit, kath.: keine Gottesdienstmöglichkeit
AR01	Appenzell Ausserrhoden	Zwangsarbeits- und Strafanstalt Gmünden	Niederteufen	Gefängnis, Arbeitserziehung, administrative Versorgung	1	5			1	50	3	50			1	Landwirtschaft, Handweberei, Polsterei, Papiersackfabrikation, Gussstück-Putzerei	Nach Vollzugsverfügung	1	5	7	10			Gerichte	Justizdirektion als Strafvollzugsbehörde	Regierung des Kantons Appenzell Ausserrhoden	Vormundschaftsbehörden							interkonfessionell	3	prot: Pfarrer von Stein/AR, kath.: Pfarrer von Teufen	Prot.: Ein- bis zweimal monatlich, kath.: an hohen Feiertagen, sonst nach Bedürfnis
AR02	Appenzell Ausserrhoden	Arbeits- und Erziehungsanstalt Kreckelhof	Herisau	Erziehung und Nacherziehung, Versorgung, offene Anstalt	1	3		Politische Gemeinde Herisau	1	30	2	30			1	Landwirtschaft und Garten, Mosterei, Holzrüsterei, Kehrrichtabfuhr, Schweinemästerei	Nach Vollzugsverfügung, mindestens 2 Jahre, Mindestaufnahmealter: 18 Jahre	1	7	9	10			Gerichte	Justizdirektion als Strafvollzugsbehörde	Vormundschaftsbehörden	Waisenämter							interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Besuch der Gemeindegottesdienste im Ort, kath.: Besuch der Gemeindegottesdienste im Ort
AR03	Appenzell Ausserrhoden	Appenzell Ausserrhodische Heil- und Pflegeanstalt Herisau	Herisau	Heil- und Pflegeanstalt. Vom Kanton benützte Anstalt zur Internierung Unzurechenfähigen nach Art. 14/15 StGB.	6				1	400	6	170	230	einige Plätze für Hospitalisierung nach Art. 14/15 StGB zur Verfügung	3	Gärtnerei und Landwirtschaft, Spielwarenfabrikation, Weberei, Papierverarbeitung, Metallwerkstätte	Nach Verfügung	1	7	8	10			Verhöramt	Gerichte	Justizdirektion als Strafvollzugsbehörde	Vormundschaftsbehörden							interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: jeden Sonntag im Haus, kath.: zweimal monatlich im Haus
AR04	Appenzell Ausserrhoden	Lärchenheim Lutzenberg	Lutzenberg	Nacherziehung für schwer erziehbare, sittlich gefährdete schulentlassene Töchter. Gruppensystem innerhalb der grossen Familiengemeinschaft	3			Verein Lärchenheim Lutzenberg, Lutzenberg	2	105	4		85	85 Plätze für Töchter, 20 Plätze für Kleinkinder, deren ledige Mütter als Insassen im Heim wohnen	2	Heimarbeit (Hartrichten von Strickmaschinennadeln), Arbeiten in Küche und Garten, externe Arbeit in Textil- und Kunststoffwerken in der Umgebung	Aufenthaltsdauer mindestens 2 Jahre, Kostengutsprache für die ersten 2-3 Monate, nachher können die Töchter ihren Unterhalt selbst bestreiten	4	13	10	14			Jugendsekretariate der ganzen deutschen Schweiz	Jugendanwaltschaften	Jugendämter	Vormundschaftsbehörden							protestantisch, in einzelnen begründeten Ausnahmen werden auch Katholiken aufgenommen	1	Prot.: durch den Heimleiter, kath.: Pfarrer von Thal-Lutzenberg	Prot.: jeden Sonntag im Heim, täglich Morgenandacht, kath.: jeden Sonntag im Ort
AR20	Appenzell Ausserrhoden	Untersuchungsgefängnis Trogen im Verhöramt von Appenzell Ausserrhoden	Trogen	Untersuchungshaft, Vollzug von Haftstragen	5				1	8	1			Männer und Frauen	3	Keine Beschäftigungsmöglichkeit	Nach Haftbefehl, nach Vollzugsverfügung	8	7					Verhöramt Appenzell Ausserrhoden	Justizdirektion Appenzell Ausserrhoden									interkonfessionell	3	Prot.: Ortspfarrer	Prot.: keine Gottesdienstmöglichkeit
AR24	Appenzell Ausserrhoden	Töchterheim Sonneberg	Walzenhausen	Nacherziehung und Führung schwer erziehbarer, sittlich gefährdeter schulentlassener Töchter, grosse Familiengemeinschaft	3			Privates Heim, Leitung Herr und Frau Vautier-Reift	2	80	3		80	weibliche Jugendliche	2	Haushalt und Garten, externe Fabrikarbeit	Aufenthaltsdauer mindestens 1 Jahr. Die Töchter müssen ihren Unterhalt selbst bestreiten	4	13	10	14			Jugendanwaltschaften	Jugendämter	Jugendsekretariate der ganzen deutschen Schweiz	Vormundschaftsbehörden							interkonfessionell	3		Prot.: regelmässig im Heim, kath.: regelmässig im Heim
BE01	Bern	Arbeits- und Strafanstalt Hindelbank	Hindelbank	Interkantonale Frauenanstalt: Gefängnis und Zuchthaus für erstmals Verurteilte und Rückfällige, Verwahrung nach Art. 42 StGB, Verwahrung Unzurechnungsfähiger nach Art. 14/17 StGB, Massnahmenvollzug nach Art. 43/44 StGB, Administrative Versorgung nach kantonalem Recht	1	5			1	196	5		196	einschliesslich Übergangsheim Steinhof in Burgdorf	2	Wäscherei, Glätterei, Glätte-Presserei, Flickstube, Damenschneiderei, Wäscheschneiderei, Weberei, Mechanische Werkstätten, Garten und Landwirtschaft	Ab 1 Monat bis lebenslänglich	6	7					Strafvollzugsbehörden der Konkordatskantone	Administrativbehörden der Konkordatskantone									interkonfessionell	3	Prot.: reformierter Pfarrer deutscher Sprache, reformierter Pfarrer französischer Sprache im Nebenamt; kath.: katholischer Seelsorger im Nebenamt	Prot.: zweimal monatlich, kath.: zweimal monatlich
BE02-a	Bern	Alpkolonie Kiley	Diemtigtal	Verlegung von Gefangenen aus den Anstalten in Witzwil als Vergünstigung oder aus gesundheitlichen Rücksichten	2				1	30	2	30			1	Alpwirtschaft mit den dazugehörenden Gewerbebetrieben, Hausdienst	Bewährung während des Anstaltsaufenthaltes in Witzwil, Gesundheitsrücksichten	7						Direktion der Anstalten in Witzwil										interkonfessionell	3	Prot.: Pfarrer von Diemtigen, kath.: Kapuzinerpater	Besuch des Gottesdienstes in Diemtigen
BE02-b	Bern	Kantonale Strafanstalt Witzwil	Witzwil	Gefängnis und Zuchthaus für erstmals Bestrafte, jugendrechtlicher Massnahmenvollzug nach Art. 91/93 StGB	5				1	260	6	260		Männer und männliche Jugendliche	1	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Vollzugsverfügung	7						Strafvollzugsbehörden der Konkordatskantone										interkonfessionell	3	Prot.: protestantischer Pfarrer deutscher und französischer Sprache im Nebenamt, Kapuzinerpater deutscher und französischer Sprache im Nebenamt, Rabbiner im Nebenamt, griech.-kath. Pfarrer im Nebenamt, ungarisch-kath. Pfarrer im Nebenamt	jeden Sonntag in deutscher und französischer Sprache für Protestanten und Katholiken
BE02-c	Bern	Arbeitserziehungsanstalt Lindenhof	Witzwil	Arbeitserziehung nach Art. 43 StGB, Administrative Versorgung	1	3			1	80	3	80			1	Landwirtschaft und Gärtnerei, einschliesslich Betreuung der landwirtschaftlichen Maschinen, Gewerbebetriebe, Küchendienst (Küche, Bäckerei, Metzgerei), Hausdienst	Minimal 1 Jahr	6	7	10				Strafvollzugsbehörden der Konkordatskantone	Administrativbehörden	Vormundschaftsbehörden								interkonfessionell	3	Prot.: protestantischer Pfarrer deutscher und französischer Sprache im Nebenamt, Kapuzinerpater deutscher und französischer Sprache im Nebenamt, Rabbiner im Nebenamt, griech.-kath. Pfarrer im Nebenamt, ungarisch-kath. Pfarrer im Nebenamt	jeden Sonntag in deutscher und französischer Sprache für Protestanten und Katholiken
BE02-d	Bern	Trinkerheilanstalt Eschenhof	Witzwil	Versorgung von Gewohnheitstrinkern nach Art. 44 StGB, Versorgung von Gewohnheitstrinkern auf vormundschaftlicher oder administrativer Ebene	4				1	30	2	30			1	Landwirtschaft und Gärtnerei, einschliesslich Betreuung der landwirtschaftlichen Maschinen, Gewerbebetriebe, Küchendienst (Küche, Bäckerei, Metzgerei), Hausdienst	Minimal 1 Jahr	6	7	10				Strafvollzugsbehörden der Konkordatskantone	Vormundschaftsbehörden	Administrativbehörden								interkonfessionell	3	Prot.: protestantischer Pfarrer deutscher und französischer Sprache im Nebenamt, Kapuzinerpater deutscher und französischer Sprache im Nebenamt, Rabbiner im Nebenamt, griech.-kath. Pfarrer im Nebenamt, ungarisch-kath. Pfarrer im Nebenamt	jeden Sonntag in deutscher und französischer Sprache für Protestanten und Katholiken
BE02-e	Bern	Arbeiterkolonie Nusshof	Witzwil-Gampelen	Übergangsheim, Aufnahme freiwilliger Kolonisten	2				1	40	2	40			1	Landwirtschaft	Nach Vollzugsverfügung, nach Vereinbarung	6	7	10				Direktion der Anstalten in Witzwil	Polizeidirektion des Kantons Bern, Bern	Vormundschaftsbehörden								interkonfessionell	3	Prot.: protestantischer Pfarrer deutscher und französischer Sprache im Nebenamt, Kapuzinerpater deutscher und französischer Sprache im Nebenamt, Rabbiner im Nebenamt, griech.-kath. Pfarrer im Nebenamt, ungarisch-kath. Pfarrer im Nebenamt	jeden Sonntag in deutscher und französischer Sprache für Protestanten und Katholiken
BE03-a	Bern	Arbeitsanstalt St. Johannsen	Le Landeron	Arbeitserziehung, Haftverbüssung, Massnahmenvollzug nach Art. 14/15 StGB	1	5			1	120	4	120			1	Landwirtschaft, Gärtnerei, Schneiderei, Schuhmacherei, Schreinerei, Wagnerei	Arbeitsfähigkeit, minimaler Aufenthalt: 6 Monate	5	7	8	10			Polizeidirektion des Kantons Bern	Regierungsrat des Kantons Bern	ausserkantonale Vormundschaftsbehörden	Strafvollzugsbehörden der Konkordatskantone							interkonfessionell	3	Prot.: Pfarrer von Gampelen und Le Landeron, kath.: Kapuzinerkloster Le Landeron	Prot.: zweimal monatlich, kath.: zweimal monatlich
BE03-b	Bern	Kolonistenheim Griessachmoos der Arbeitsanstalt St. Johannsen	Le Landeron	Erziehung zur Arbeit und geordneter Lebensweise	2				1	120	4	120			1	Landwirtschaft, Gärtnerei, Schneiderei, Schuhmacherei, Schreinerei, Wagnerei	Nach Vollzugsverfügung, Übergangsheim für Einweisungen bei Liederlichkeit, Trunksucht, Arbeitsscheu	5	10					Regierungsrat des Kantons Bern	Vormundschaftsbehörden der Konkordatskantone									interkonfessionell	3	Prot.: Pfarrer von Gampelen und Le Landeron, kath.: Kapuzinerkloster Le Landeron	Prot.: zweimal monatlich, kath.: zweimal monatlich
BE04	Bern	Kantonale Strafanstalt Thorberg	Krauchthal	Gefängnis und Zuchthaus für Rückfällige, gerichtliche Verwahrung nach Art. 42 StGB	5				1	300	6	300			1	Schneiderei, Schuhmacherei, Sattlerei, Tapeziererei, Weberei, Schreinerei, Wagnerei, Malerei, Schmiede, Spenglerei, Korberei, Kartonnage, Landwirtschaft. Für Eigenbedarf: Bäckerei, Gärtnerei, Landwirtschaft, Wäscherei	Nach Vollzugsverfügung; geschlossen: für Zuchthaus und Verwahrung; halboffen: für Gefängnis und Verwahrung, je nach Eignung und Gesundheitszustand	7						Strafvollzugsbehörden der Konkordatskantone										interkonfessionell	3	Prot.: Pfarrer von Hasel bei Burgdorf, kath.: Pfarrer von Burgdorf	Prot.: zweimal monatlich, kath.: einmal monatlich
BE05	Bern	Anstalt Bärau	Langnau im Emmental	Armen-Verpflegungsanstalt; vom kanton benützte Anstalt für Verwahrung und Versorgung nach Art. 17 StGB und nach Art. 25 und 66 des EG zum StGB.	1	5	7	Inhaber: Genossenschaft der Emmenthalischen Gemeinden, Langnau i. E.	2	550	6	230	220		3			5	8					Regierungsrat des Kantons Bern	Polizeidirektion Bern									interkonfessionell	3	Reformierter Pfarrer aus Burgdorf, katholischer Pfarrer aus Langnau, beide im Nebenamt	Im Hause, Besuch freiwillig, Reformierte: 1 mal monatlich, Katholiken: 1 mal monatlich
BE06	Bern	Bernische Heilstätte Nüchtern	Kirchlindach	Behandlung alkoholkranker Männer, vom Kanton benützte Anstalt für Einweisungen nach Art. 44 StGB	4			Inhaber: Verein der Trinkerheilstätte Nüchtern Kirchlindach	2	50	3	50			1	Landwirtschaft, Hausdienst, Schreinerei, Schlosserei	Mindestens 1 Jahr, unterschriftliche Verpflichtung zur Einhaltung der Hausordnung, körperlich oder geistig Kranke können nicht aufgenommen werden	5	7	9				Administrativbehörden	Fürsorgeämter	Strafvollzugsbehörden der Konkordatskantone								protestantisch (Patienten anderer Konfession finden auch Aufnahme)	1	Prot.: Pfarrer im Aufsichtskomitee und zugleich Hausvater, kath.: Pfarrer aus Bern-Bümpliz	Prot.: Besuch der Gemeindegottesdienste, kath.: Besuch der Gemeindegottesdienste in Zollikofen
BE07	Bern	Arbeiterheim Tannenhof	Gampelen	Arbeiterheim für Volljährige, Anstalt für administrative Versorgungen	1	2			2	200	6	200			1	Landwirtschaft und Gärtnerei	Minimal 1 Monat	6	7	9	10			Administrativbehörden	Vormundschaftsbehörden	Fürsorgeorgane	Schutzaufsichtsorgane							interkonfessionell	3	Prot.: reformierter Pfarrer im Nebenamt, kath.: Kapuzinerkloster Le Landeron	Prot.: jeden Sonntag im Haus, Gelegenheit zum Gottesdienstbesuch in Gampelen; kath.: jeden Sonntag im Haus, Gelegenheit zum Gottesdienstbesuch in Ins
BE08	Bern	Hospice et maison d'internement/Versorgungsheim	Sonvilier	Asile pour personnes adultes indigentes/Versorgung von Erwachsenen, Etablissement utilisé pour internements administratifs/Anstalt für Einweisungen nach kantonalem Recht (GEV)	1				1	140	5			Männer und Frauen	3	Agriculture, jardin, lingerie, ménage, Landwirtschaft, Garten, Wäscherei, Haushalt	Ab 18 Jahren nach Verfügung/dès 18 ans, selon ordre a exécuter	8	9					Polizeidirektion des Kantons Bern	Direktion des Fürsorgewesens des Kantons Bern									interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: einmal monatlich im Heim, kath.: zweimal jährlich im Heim
BE09	Bern	Jugendheim Prêles	Prêles	Gerichtlicher und administrativer Massnahmenvollzug an männlichen Jugendlichen	3				1	105	4	105		männliche Jugendliche	1	Schreiner, Wagner, Schmied, Maurer, Schneider, Automechaniker, Schuhmacher, Bäcker, Gärtner, Landwirt, Kaufmann	Dauer einer Berufslehre, mindestens aber 1 1/2 Jahre	4	8	10	13			Jugendamt des Kantons Bern	Jugendanwaltschaften des Kantons Bern	Vormundschaftsbehörden	Polizeidirektion des Kantons Bern							interkonfessionell	3	Prot.: Pfarrer von Murten (deutsch), Pfarrer von Diesse (französisch), kath.: Pfarrer von Biel (deutsch und französisch)	Prot.: Alle 14 Tage im Haus, Besuch obligatorisch; kath.: alle 14 Tage im Haus, Besuch obligatorisch
BE10	Bern	Pension Wysshölzli	Herzogenbuchsee	Behandlung und Betreuung alkoholkranker Frauen, Anstalt für Massnahmenvollzug	4			Inhaber: Genossenschaft Wysshölzli, Herzogenbuchsee	2	25	2		25		2	Hauswirtschaft, Wäscheschneiderei, Nähstube	Mindestens 1 Jahr	5	9	10				Fürsorgestellen	Administrativbehörden	Vormundschaften								protestantisch	1	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Teilnahme an den Ortsgottesdiensten, kath.: Teilnahme an den Ortsgottesdiensten
BE11	Bern	Bezirksgefängnis Aarberg	Aarberg	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	15	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE12	Bern	Bezirksgefängnis Aarwangen	Aarwangen	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	15	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE13	Bern	Bezirksgefängnis Seftigen	Seftigen	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	9	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE14	Bern	Bezirksgefängnis Bern	Bern	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	120	3			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	2	4	7	8	11		Untersuchungsrichter	Regierungsstatthalter	Jugendanwalt	Polizeibehörde	Strafvollzugsbehörden						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE15	Bern	Bezirksgefängnis Biel	Biel	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	40	2			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	11				Regierungsstatthalter	Untersuchungsrichter	Bezirksgerichtspräsident								interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE16	Bern	Bezirksgefängnis Obersimmental	Blankenburg	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	10	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE17	Bern	Bezirksgefängnis Büren	Büren an der Aare	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	10	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE18	Bern	Bezirksgefängnis Burgdorf	Burgdorf	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	24	2	20	4		3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Untersuchungsrichter	Regierungsstatthalter	Ortspolizeibehörde	Gerichtspräsident							interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE19	Bern	Bezirksgefängnis Courtelary	Courtelary	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	12	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE20	Bern	Bezirksgefängnis Delémont	Delémont	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	20	2			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	11				Untersuchungsrichter	Regierungsstatthalter	Bezirksgerichtspräsident								interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
BE21	Bern	Bezirksgefängnis Erlach	Erlach	a) Untersuchungshaft, b) richterlicher und administrativer Disziplinararrest, c) Vollzug von Haft- und Gefängnisstrafen	5				1	8	1			Männer und Frauen	3	Unterschiedlich von Bezirksgefängnis zu Bezirksgefängnis in der Hauptsache: Gartenarbeiten, Haus- und Küchendienst, Cartonnagearbeiten	Nach Haftbefehl, bis 8 Tage, bis 30 Tage	1	2	8	11			Polizei	Untersuchungsrichter	Bezirksamt	Bezirksgericht	Statthalteramt						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Keine Gottesdienste, kath.: keine Gottesdienste
