ID	Quelle (source)	Erhebungsjahr (survey year)	Kanton (Canton)	Ort (city)	Anstalt (institution)	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 9"	Träger (agencies, funding bodies)	"Trägerschaft (agencies): Staatlich (governmental funded) = 1; Privat (privately funded)= 2; gemischt (public-private mix) = 3; unbestimmbar (not specified) = 4"	Konfession (denomination)	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik = 3, unbestimmbar (not specified) = 4"	gegründet (founded in)	Zweck (purpose of the institution)	"Geschlecht Insassen (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3 "	Pl‰tze (capacities)	"Platzzahl (capacities): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7"	Kategorie (categories as shown in the original sources)
AG23	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Benzenschwil	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG24	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Bergdietikon	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG25	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Biberstein	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG26	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Birrwil	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG27	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Boniswil	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG28	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Boswil	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG29	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Bremgarten	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG30	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Brugg	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG31	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Brugg	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG32	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Buchs	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG33	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Buttwil	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG34	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Dietwil	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG35	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Dintikon	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG36	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Dürrenäsch	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG37	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Effingen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG38	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Eiken	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG39	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Ennetbaden	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG40	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Gansingen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG41	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Gontenschwil	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG42	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Gränichen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG43	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Hägglingen	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG44	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Hausen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG45	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Herznach	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG46	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Hirschthal	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG47	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Hornussen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG48	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Kaiserstuhl	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG49	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Kaisten	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG50	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Klingnau	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG51	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Koblenz	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG52	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Künten	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG53	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Küttigen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG54	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Lenzburg	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG55	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Leutwil	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG56	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Lupfig	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG57	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Meisterschwanden	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG58	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Mellingen	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG59	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Menziken	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG60	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Mettau	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG61	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Muhen	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG62	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Münchwilen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG63	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Muri	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG64	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Neuenhof	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG65	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Niederwil	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG66	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Oberendingen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG67	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Oberhofen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG68	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Oberlunkhofen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG69	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Oeschgen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG70	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Reinach	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG71	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Rekingen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG72	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Rheinfelden	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG73	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Rudolfstetten	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG74	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Rüfenach	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG75	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Sarmenstorf	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG76	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Schinznach	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG77	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Schwaderloch	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG78	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Seengen	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG79	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Siglistorf	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG80	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Sisseln	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG81	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Suhr	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG82	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Sulz	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG83	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Tägerig	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG84	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Tennwil	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG85	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Teufenthal	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG86	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Thalheim	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG87	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Villigen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG88	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Wittnau	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG89	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Wohlen	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG90	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Wölflinswil	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG91	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Würenlingen	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG92	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Zetzwil	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG93	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Zofingen	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
