ID	Kanton (Canton)	Ort (city)	Name (institution)	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Zweck 1933 (Quelle); purpose of the institution according to the source 1933 (Wild Albert)"	"Zweck 1939 (Quelle)
Z=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1939"	"Zweck/Spezifikation Pro Juventute 1944; purpose of the institution according to the source 1944"	"Zweck 1945 (Quelle)
ZH=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1945"	"Zweck 1954 (Quelle); purpose of the instititution according to the source 1954 (Schwarz Martin)"	"Trägerschaft (agencies, funded bodies): Staatlich (governmental) = 1; Privat (privately funded) = 2; gemischt (public-private mix) = 3; unbestimmbar (not specified) = 4"	Trägerschaft (agencies according to) Wild 1933	Trägerschaft (agencies according to) Pro Juventute 1944	Trägerschaft (agencies according to) Schwarz 1954	"Platzzahl (capacities): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7"	Platzzahl (capacieties according to source) 1933 (Quelle) 	Platzzahl (capacities according to source) 1939 (Quelle)	Platzzahl (capacities according to source) Pro Juventute 1944 (Quelle)	Platzzahl (capacities according to source) 1945 (Quelle) 	Platzzahl (capacities according to source) 1954 (Quelle) 	"Geschlecht Insassen (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified)= 4"	Geschlecht (gender ratio according to source) Wild 1933	Geschlecht (gender ratio according to source) 1939 (Quelle)	Geschlecht (gender ratio according to source) 1945 Quelle	Geschlecht  (gender ratio according to source) Pro Juventute 1944	Geschlecht (gender ratio according to source) Schwarz 1954	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik (interdenominational) = 3, unbestimmbar (not specified) = 4"	Konfession (denomination according to source) Wild 1933	Konfession (denomination according to source) Pro Juventute 1944	Konfession (denomination according to source) Schwarz 1954												
AG12	Aargau	Muri	Bezirksgefängnis Muri	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	1			1	1					10	3					3	3			3												
AG13	Aargau	Rheinfelden	Bezirksgefängnis Rheinfelden	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	1			1	1					12	3					3	3			3												
AG14	Aargau	Unterkulm	Bezirksgefängnis Unterkulm	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	1			1	1					11	3					3	3			3												
AG15	Aargau	Zofingen	Bezirksgefängnis Zofingen	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis;
Vollzug von Haft- und Gefängnisstrafen bis zu 4 Wochen"	1			1	1					15	3					3	3			3												
AG16	Aargau	Zurzach	Bezirksgefängnis Zurzach 	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	1			1	1					10	3					3	3			3												
AG17	Aargau	Biberstein	Erziehungsheim Schloss Biberstein	3								"Erziehung Schwachbegabter;
Vom Kanton benutzte Anstalt für administrative Einweisungen im Sinne des Massnahmenvollzugs."	4			4	3					72	3					3	3			3												
AG18	Aargau	Klingnau	Erziehungsheim St. Johann	3								"Betreuung und Erziehung vorschul- und schulpflichtiger Kinder sowie Jugendlicher, die aus irgend einem Grunde nicht in der Familie erzogen werden können;
Internatsschule;
Vom Kanton benutzte Anstalt für die administrative Versorgung Jugendlicher beiderlei Geschlechts."	2			2	4					110	3					3	3			3												
AG94	Aargau	Königsfelden	Heil- und Pflegeanstalt Königsfelden	6				"Gegründet 1866 und eröffnet 1872, erweitert durch Neubauten 1907/1908. Eigenes Anstaltsgebäude mit Raum für 800 Personen. Zur Anstalt gehört ferner die ehemalige Pflegeanstalt Königsfelden (in den Gebäuden des alten Franziskanerklosters), wo zur Zeit 150 unheilbare Geisteskranke untergebracht sind. Sie ist der Irrenanstalt angegliedert und steht unter der gleichen Direktion. (…) Aufnahme finden Geisteskranke aus dem Kanton und Kantonsfremde, soweit Raum. Bedingungen: Aufnahmegesuche nach Formular, ärztliches Zeugnis und Kostengarantie. Für Kranke, die auf Veranlassung der nächsten Angehörigen, respektive Vormünder oder Gemeindebehörden aufgenommen werden, überdies: 1. schriftliche Erklärung nach Formular und Bezeichnung der Klasse; 2. amtlicher Vermögens- und Einkommens-Ausweis nach Formular; 3. Garantieschein nach Formular und ärztlicher Bericht nach Formular."				"Heil- und Pflegeanstalt;
Vom Kanton benützte Anstalt für Verwahrung von Unzurechenfähigen nach Art. 14/15 StGB."	1			1	6	800				815	3	3				3	3	3		3												
AG95	Aargau	Lenzburg	Kantonale Strafanstalt Lenzburg	5				Verbunden mit der Strafanstalt. Besteht laut Gesetz vom 19. Februar 1868 und ist für Personen beiderlei Geschlechts als abgesonderte Abteilung der Strafanstalt Lenzburg eingerichtet und unter deren Verwaltung gestellt. Zweck: pflichtvergessene Eltern, Müssiggänger, Landstreicher und Trinker an ein geordnetes Leben und Pflichterfüllung zu gewöhnen. (…) Zur Stellung von Begehren um Versetzung in die Anstalt sind die Armenbehörden, die Gemeinderäte, die Kirchenpflegen, die Eltern und die Vormünder berechtigt, jedoch nur nach vorausgegangener fruchtloser Warnung an die Betreffenden. Das Bezirksgericht des Heimatortes entscheidet über die gestellten Begehren und bestimmt in jedem einzelnen Falle die Dauer der Detention, erstmals auf 6-18 Monate und im Wiederholungsfalle von 1-3 Jahren.	Z, G, A, ev. V		ZH, G, V	"Gefängnis;
Zuchthaus;
gerichtliche Verwahrung"	1			1	6	50 (nur Zwangsarbeitsanstalt)	233		240	280	3	3				3	3			3												
AG98	Aargau	Olsberg	Staatliche Pestalozzistiftung Olsberg	3								"Erziehung schwererziehbarer Knaben und Jugendlicher;
Die meisten Jugendlichen kommen nach der Schulentlassung oder Konfirmation von Olsberg fort, jedoch bleiben diejenigen in der Anstalt bis zum 18. und 19. Altersjahr interniert, die in der Nähe eine Lehre begonnen haben."	4			4	3					50	1					1	3			3												
AI03	Appenzell Innerrhoden	Appenzell	Gefängnis im Rathaus	5					G, H			Untersuchungsgefängnis	1			1	1		11				3					3	3			3												
AR01	Appenzell Ausserrhoden	Gmünden bei Teufen	Zwangsarbeits- und Strafanstalt Gmünden	1	5			"Staatsanstalt. Zweck: a) Personen, die bei anerkannter Arbeitsfähigkeit einem liederlichen, ausschweifenden oder arbeitsscheuen Lebenswandel sich hingeben und daher der Bürgergemeinde zur Last fallen, oder welche unter besondere Aufsicht gestellt werden müssen, oder solche, die ihre Familienpflichten nicht erfüllen oder die in den Armenhäusern die Ordnung erschweren, zu strenger Arbeit anzuhalten und womöglich wieder an ein tätiges und geregeltes Leben zu gewöhnen; b) Personen, welche von den Gerichten zu Gefängnis- oder Arbeitsstrafe verurteilt, und Bussenschuldner, die zum Vollzuge der eventuell ausgesprochenen Gefängnis- oder Arbeitsstrafe überwiesen worden sind, zur Verbüssung ihrer Strafe aufzunehmen und ebenfalls angemessen zu beschäftigen. (…) Über die Aufnahme in die Anstalt entscheidet der Regierungsrat."			ZH, G, H, V	"Gefängnis;
Zwangsarbeitsanstalt;
Arbeitserziehungsanstalt;
Anstalt für administrative Versorgungen"	1			1	3	50	75		60	45–55	3	3	3			3	3			3												
AR02	Appenzell Ausserrhoden	Herisau	Arbeits- und Erziehungsanstalt Kreckelhof	1	3			Gegründet 1915 durch die Gemeinde Herisau, um arbeitsfähigen, aber willensschwachen, unsoliden und pflichtvergessenen Bürgern der Gemeinde Aufnahme zu gewähren, sie im Anstaltsbetrieb angemessen zu beschäftigen und, wenn möglich, wieder zu ordentlichen Bürgern zu erziehen. Die Erstellung der Anstalt ermöglichte ein Bürger von Herisau, Herr Arthur Scheiss in St. Gallen, durch ein grosses Geschenk.				"Erziehungsanstalt;
Versorgungsanstalt"	4			4	2	40				25	4	4				1	3			3												
AR03	Appenzell Ausserrhoden	Herisau	Appenzell Ausserrhodische Heil- und Pflegeanstalt Herisau	6				Gegründet durch den Kanton Appenzell A.-Rh. auf Anregung und mit Unterstützung des appenzellischen Hilfsvereins für arme Geisteskranke zur Heilung und Verpflegung von Geisteskranken. (…) Aufnahme finden in erster Linie Kantonsbürger und sodann im Kanton wohnhafte Schweizerbürger. Je ein Flügel des ruhigen Männer- und des entsprechenden Frauenhauses ist für besserbemittelte Kranke eingerichtet (Geistes- und Gemütskranke, Psychopathen, Alkoholiker, Morphiumsüchtige, etc.). Zur Aufnahme ist erforderlich: (…) Für Geisteskranke, welche auf Verlangen ihrer Angehörigen, beziehungsweise der Vormünder oder Gemeindebehörden aufgenommen werden sollen: 1. die schriftliche Erklärung der Angehörigen, Vormünder oder Gemeindebehörden, dass sie die Aufnahme des Kranken verlangen, unter Bezeichnung der Klasse, in welcher er verpflegt werden soll, 2. ein die Geisteskrankheit nachweisendes und die Notwendigkeit der Aufnahme begründendes ärztliches Zeugnis, 3 die zivilstandsamtlichen Angaben der Personalien, 4. Sicherstellung der Zahlung der Verpflegungsgelder, 5. ein amtlicher Vermögens- und Einkommensausweis des betreffenden Kranken, der Eltern oder Unterstützungspflichtigen.				"Heil- und Pflegeanstalt;
Vom Kanton benützte Anstalt zur Internierung Unzurechenfähigen nach Art. 14/15 StGB."	1			1	6	330					3	3				3	3	3														
AR04	Appenzell Ausserrhoden	Lutzenberg	Lärchenheim Lutzenberg	3								"Heim für schwererziehbare, sittlich gefährdete, schutzbedürftige weibliche Jugendliche und Frauen;
Nacherziehung im System von Familiengruppen, sogenannten ""Clubs"". Jeder Club unter Leitung einer Heimmitarbeiterin;
Pflege des Familiensinns innerhalb einer grossen Hausgemeinschaft;
Beschäftigung im Heim oder in den Textil- und verwandten Industrien der Umgebung.
Angegliedert: Kinderhaus für Kleinkinder (durchschnittlich 10 Kinder). Die Mütter dieser Kleinkinder wohnen als Insassinnen im Heim.
Möglichkeit, sich nach gewisser Zeit zur Halb- resp. Vollpensionärin mit vermehrten Rechten emporzuarbeiten."	2			2	4					110	2					2	1			1												
AR20	Appenzell Ausserrhoden	Trogen	Untersuchungsgefängnis Trogen	5							G bis 8 Tg., H bis 8 Tg.		1			1	7						3						3			3												
BE01	Bern	Hindelbank	Arbeits- und Strafanstalt Hindelbank	1	4	5		Errichtet 1889 gemäss Gesetz über kantonale Arbeitsanstalten vom 11. März 1884 zur administrativen Einweisung liederlicher, trunksüchtiger und arbeitsscheuer Frauen zum Zwecke der Wiederaufrichtung durch Arbeit, Seelsorge und geregeltes Leben. Die Anstalt steht unter der kantonalen Polizeidirektion. (…) Seit 1911, dem Brand der Frauenabteilung in St. Johannsen, beherbergt die Anstalt auch die gerichtlich verurteilten weiblichen Sträflinge des Kantons Bern, die jedoch von den Administrativen gesondert gehalten werden. Die Aufnahme der Administrativen geschieht durch Verfügung des Regierungsrates des Kantons Bern auf Grund des Armenpolizeigesetzes vom 1. Dezember 1912 für 6 Monate bis 2 Jahre. (…) Zahl der Insassen: Administrative: durchschnittlich 80, gerichtlich Verurteilte: 20-30.	Z, G		V, ZH, G, A, T	"Gefängnis;
Zuchthaus;
gerichtliche Verwahrung;
Verwahrung von Gewohnheitstrinkern;
Anstalt für HPA (Art. 14/17 StGB);
Anstalt für APG (Kt. Bern vom 1.12.1912)"	1			4	4	80			100	100	2					2	3			3												
BE07	Bern	Witzwil-Gampelen	Arbeiterheim Tannenhof	1	2			Gegründet 1889 durch einen Verein zu dem Zwecke, mittelst Betrieb eines Landgutes Arbeitsuchenden, sowie entlassenen, oder Arbeit suchenden stellenlosen Sträflingen schweizerischer Nationalität und, soweit Raum, auch Ausländern ein vorübergehendes Heim zu eröffnen, woselbst sie gegen Unterkunft, Verpflegung und Lohn bis zu anderweitiger dauernder Anstellung der landwirtschaftlichen Arbeit obzuliegen haben.				"Arbeiterkolonie für Volljährige;
Vom Kanton benutzte Anstalt für administrative Versorgungen und Zwangsarbeitseinweisungen;
Übergangsheim für zu Entlassende nach Art. 14/17 und 44 StGB.
"	2			2	5	150				200	1	1				1	3	1		3												
BE02-a	Bern	Diemtigtal	Alpkolonie Kiley	2								Verlegung von Gefangenen aus den Anstalten in Witzwil als Vergünstigung aus gesundheitlichen Rücksichten.	1			1	2					35	1					1	3			3												
BE02-b	Bern	Witzwil	Kantonale Strafanstalt Witzwil	5								"Untersuchungshaft;
Gefängnis;
Zuchthaus;
Erziehung von männlichen Jugendlicher nach Art. 94 StGB."	1			1	6					220	1					1	3			3												
BE02-c	Bern	Witzwil	Arbeitserziehungsanstalt Lindenhof	1	3							"Arbeitserziehung nach Art. 43 StGB.;
Administrative Einweisungen"	1			1	5					160	1					1	3			3												
BE02-d	Bern	Witzwil	Trinkerheilanstalt Eschenhof	4								Verwahrung von Gewohnheitstrinkern nach Art. 44	1			1	2					35	1					1	3			3												
BE02-e	Bern	Witzwil	Arbeiterkolonie Nusshof	2				1905 durch die Strafanstalt Witzwil als Heim für entlassene Sträflinge, um solchen Entlassenen, die den vernünftigen Gebrauch der wiedererlangten Freiheit sich aneignen wollen, durch kürzeren oder längeren, freiwilligen Aufenthalt eine Übergangsstation darzubieten. Soweit Platz vorhanden, können auch Arbeitslose überhaupt auf ihr Gesuch um Aufnahme Beschäftigung finden.				"Arbeiterkolonie für Freiwillige (sog. Kolonisten), Arbeitslose, bedingt Entlassene;
Übergangsheim für zu Entlassende nach Art. 14/17 und 44 StGB.
"	1			4	2	30				50	1	1				1	3	3		3												
BE03	Bern	Le Landeron	Arbeitsanstalt St. Johannsen	1	5			Staatsanstalt zur Besserung liederlicher, arbeitsscheuer männlicher Personen (Gesetz vom 1. Dezember 1912 über die Armenpolizei und die Arbeits-Enthaltungsanstalten). (…) Durchschnittlich 240 Männer.	V, A		adm. V, H über 1 Mt.	"Haftgefängnis;
Arbeitserziehungsanstalt;
Administrative Versorgungen"	1			1	6	300			298	300	1					1	3			3												
BE04	Bern	Krauchthal	Kantonale Strafanstalt Thorberg	5				Gegründet 1849 als Zucht- und Korrektionshaus für kriminell und korrektionell Verurteilte. Sie steht unter Aufsicht der kantonalen Polizeidirektion, respektive deren Gefängniskommission. (…) Durchschnittlicher Bestand: 180 (Männer).	Z, G		V, ZH, G	"a) Gefängnis für Rückfällige;
b) Zuchthaus für Strafen von mehr als 3 Jahren;
c) gerichtliche Verwahrung"	1			1	6	260			244	250	1					1	3			3												
BE05	Bern	Langnau im Emmental	Anstalt Bärau	7				Gegründet 1898 durch die Gemeinden des Amtsbezirks Signau zur Aufnahme und würdigen Versorgung erwachsener Personen, welche der öffentlichen Versorgung durch die beteiligten Gemeinden und dem Staat anheimgefallen sind. Grundsätzlich ausgeschlossen sind: unruhige Geisteskranke, schwere Epileptiker, mit ansteckenden Krankheiten Behaftete und unverbesserliche Störefriede, sofern diese in einer Arbeitsanstalt Unterkunft finden können. Aufgenommen werden ferner Freiwillige, Bevormundete und Rekonvaleszenten, soweit es der Raum gestattet.				"Armen-Verpflegungsanstalt;
Vom Kanton benutzte Anstalt für Verwahrung und Versorgung nach Art. 17 StGB und nach Art. 25 und 66 des EG zum StGB."	4	1		2	6	410				550	3					3	3	3		3												
BE06	Bern	Kirchlindach	Bernische Heilstätte Nüchtern	4				"Männern, welche der Trunksucht anheimgefallen sind, durch geeignete Pflege Heilung zu vermitteln und sie an eine nüchterne, geordnete Lebensweise zu gewöhnen. Diesen Zweck sucht sie zu erreichen: a) durch vollständige Enthaltsamkeit von allen geistigen Getränken; b) durch eine einfache, gesunde und nahrhafte Kost; c) durch Gewöhnung an regelmässige Arbeit in Landwirtschaft, Werkstätten, Haus und Garten; d) durch sittlich-religiöse Einwirkung und Belehrung. "				"Heilstätte für Alkoholkranke;
Von verschiedenen Kantonen benutzte Anstalt für die Internierung von Gewohnheitstrinkern nach Art. 44 StGB."	2			2	3	40				50	1					1	1	1		1												
BE08	Bern	Sonvilier	Anstalt Prés-aux-boeufs Sonvilier	1	7			Gegründet 1900 durch den Staat als Erziehungsanstalt für Knaben, 1931 dem Verpflegungsheim Worben verpachtet und umgewandelt in ein Versorgungsheim für jurassische ältere, arme, eventuell auch böswillige Pfleglinge.					1			1	3	50					3	3					3	3			"Sonvilier: 
- Sowohl Männer wie auch Frauen (Rietmann 2013, S.109 Bildlegende)
- 1931 errichtet in den Gebäulichkeiten einer ehemaligen Knabenerziehungsanstalt als ""besondere Armenverpflegungs- und Enthaltungsanstalt für Personen, die wegen der Eigenart ihres Chrarakters nicht anderweitig verpflegt werden können""(Gesetzestext 1912), bei Beratung Bezeichnung ""Anstalt für Bösartige"" diskutiert . Erstellung 1931 fussend auf Gesetz von 1912, davor zwei Jahrzehnte Provisorium (Rietmann, 2013, S. 108-110)"											
BE09	Bern	Prêles	Erziehungsheim für Jugendliche Tessenberg	3				Nacherziehung Gefährdeter und Verwahrloster.		14–20 Jahre (ev. 20)	Erz. Jugendl.	"Gerichtliche Verwahrung;
Administrative Versorgung;
Erziehungsanstalt für Jugendliche"	1		Staat	1	4	100		120	118	120	1				1	1	3	1	3	3												
BE10	Bern	Herzogenbuchsee	Pension Wysshölzli	4								"Trinkerheilanstalt für Frauen;
Von verschiedenen Kantonen benutzte Anstalt für die Internierung von Gewohnheitstrinkerinnen."	2			2	2					25	2					2	1			"reformiert, Leitung durch drei Berner Diakonissen;  für ref. und kaht. Klientel"												
BE11	Bern	Aarberg	Bezirksgefängnis Aarberg	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	7						3					3	3			3												
BE12	Bern	Aarwangen	Bezirksgefängnis Aarwangen	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	7						3					3	3			3												
BE13	Bern	Belp	Bezirksgefängnis Seftigen	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	7						3					3	3			3												
BE14	Bern	Bern	Bezirksgefängnis Bern	5					H, G		H, G	"a) Untersuchungsgefängnis;
b) Vollzug kurzfristiger Haft- und Gefängnisstrafen"	1			1	4					120	3					3	3			3												
BE15	Bern	Biel	Bezirksgefängnis Biel	5					H, G		H, G	"a) Untersuchungsgefängnis;
b) Vollzug kurzfristiger Haft- und Gefängnisstrafen"	1			1	2					40	3					3	3			3												
BE16	Bern	Blankenburg	Bezirksgefängnis Obersimmental	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					10	3					3	3			3												
BE17	Bern	Büren an der Aare	Bezirksgefängnis Büren	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					10	3					3	3			3												
BE18	Bern	Burgdorf	Bezirksgefängnis Burgdorf	5					H, G		H, G	"a) Untersuchungsgefängnis;
b) Polizeigefängnis;
c) Vollzug von Haft- und Gefängnisstrafen
"	1			1	2					24	3					3	3			3												
BE19	Bern	Courtelary	Bezirksgefängnis Courtelary	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					12	3					3	3			3												
BE20	Bern	Delémont	Bezirksgefängnis Delémont	5					H, G		H, G	"a) Untersuchungsgefängnis;
b) Vollzug Haft- und Gefängnisstrafen"	1			1	2					20	3					3	3			3												
BE21	Bern	Erlach	Bezirksgefängnis Erlach	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					4	3					3				3												
BE22	Bern	Fraubrunnen	Bezirksgefängnis Fraubrunnen	5					H, G		H, G	"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	1			1	1					3	3					3	3			3												
