ID	Kanton (Canton)	Ort (city)	Anstalt (institution)	aufgeführte, alternative Bezeichnungen (alternative notations)	"Anstaltszweck (Quelle)
(purpos of the institution according to the source)"	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	Offenheit Code	DummyOffen	DummyHalboffen	DummyGeschlossen	Spezifikation Typologie (Quelle) (categories according to source)	Trägerschaft (agencies, funding bodies)	Spezifikation Inhaber (Quelle) (specifications of the agencies according to source)	Platzzahl (Quelle) (capacities according to source)	Platz (capacities)	Plätze Männer (Quelle) (capacities for the male gender according to source)	Plätze Frauen (Quelle) (capacities for the female gender according to the source)	"Geschlecht (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified) = 4"	Bemerkungen Plätze (Quelle)	DummyMänner	DummyFrauen	Aufenthaltsbedingungen (Quelle) (terms of detention e.g. duration of stay/juridic coverage according to source)	Einweisende Behörden: 1 = Gerichte, 2 = Untersuchungsrichter, 3 = Staatsanwaltschaft, 4 = Jugendanwaltschaft, 5 = Regierungsrat, 6 = Administrativbehörde, 7 = Justizbehörde/Strafvollzugsbehörde, 8 = Polizeibehörde/Verhöramt, 9 = Armenbehörde/Fürsorgebehörde, 10 = Vormundschaftsbehörde, 11 = Bezirksämter/Statthalteramt, 12 = Amtsvormundschaft, 13 = Jugendämter, 14 = Private/Vereine/Kirchen- und Schulbehörden	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Konfession (Quelle) (denomination according to source)	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik. (interdenominational) = 3; unbestimmt (not specified) = 4"	Seelsorge (Quelle) (pastoral care according to source)	Gottesdienste (church services according to source)
AG12	AG	Muri	Bezirksgefängnis Muri		"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 30 Tage"	1	8	11				Polizei	Bezirksgericht	Bezirksamt											Interkonfessionell	3	Reformierte und katholische Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
AG13	AG	Rheinfelden	Bezirksgefängnis Rheinfelden		"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		12	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 30 Tage"	1	8	11				Polizei	Bezirksgericht	Bezirksamt											Interkonfessionell	3	Reformierte und katholische Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
AG14	AG	Unterkulm	Bezirksgefängnis Unterkulm		"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		11	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 30 Tage"	1	8	11				Polizei	Bezirksgericht	Bezirksamt											Interkonfessionell	3	Katholischer Pfarrer aus Menziken	Keine Gottesdienstmöglichkeit
AG15	AG	Zofingen	Bezirksgefängnis Zofingen		"Untersuchungsgefängnis;
Vollzug von Haft- und Gefängnisstrafen bis zu 4 Wochen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		15	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 4 Wochen"	1	2	11				Untersuchungsrichter	Bezirksgericht	Bezirksamt											Interkonfessionell	3	"Reformierter Pfarrer von Uerkheim im Nebenamt;
Besuch des katholischen Ortspfarrers auf Wunsch der Insassen"	Ab und zu Übertragung einer Radiopredigt
AG16	AG	Zurzach	Bezirksgefängnis Zurzach 		"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 30 Tage"	1	8	11				Polizei	Bezirksgericht	Bezirksamt											Interkonfessionell	3	Reformierte und katholische Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
AG17	AG	Biberstein	Erziehungsheim Schloss Biberstein		"Erziehung Schwachbegabter;
Vom Kanton benutzte Anstalt für administrative Einweisungen im Sinne des Massnahmenvollzugs."	3				#REF!					4		72	3	52	20	3	"52 für Knaben;
20 für Mädchen"	1	1	"Bis zum 16. Altersjahr;
Aufnahmealter minimal 7 Jahre, maximal 16 Jahre"	4	9					Jugendanwaltschaften	Fürsorgeämter												Interkonfessionell	3	"Reformierter Pfarrer von Kirchberg;
römisch-katholischer Pfarrer von Aarau;
christ-katholischer Pfarrer von Aarau, alle nebenamtlich"	Jeden Sonntag Besuch der Ortsgottesdienste obligatorisch
AG18	AG	Klingnau	Erziehungsheim St. Johann	Kinderheim St. Johann	"Betreuung und Erziehung vorschul- und schulpflichtiger Kinder sowie Jugendlicher, die aus irgend einem Grunde nicht in der Familie erzogen werden können;
Internatsschule;
Vom Kanton benutzte Anstalt für die administrative Versorgung Jugendlicher beiderlei Geschlechts."	3				#REF!	0	0	1	Private, geschlossene Anstalt, unter Staatskontrolle	2	Verein St. Johann, Klingnau	110	4			3	für beide Geschlechter	1	1	Bis zum 15. Altersjahr	4	6	9				Fürsorgestellen	Jugendanwaltschaften	Gemeindebehörden											"Interkonfessionell;
Führung durch katholische Ordensschwestern"	3	Katholischer Pfarrer von Klingnau, ausserdem Besuch des reformierten Pfarrers von Döttingen	Im Hause, Besuch obligatorisch
AG94	AG	Königsfelden	Heil- und Pflegeanstalt Königsfelden		"Heil- und Pflegeanstalt;
Vom Kanton benützte Anstalt für Verwahrung von Unzurechenfähigen nach Art. 14/15 StGB."	6				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		815	6	375	440	3	"Davon Internierte nach StGB ca. 40;
Reformierte: ca. 60%;
Röm.-Katholische: ca. 35%;
Christ-Katholische und andere Konfessionen: ca. 5%"	1	1	"Nach ärztlicher und behördlicher Vorschrift;
Internierte nach StGB von den andern Patienten nicht getrennt gehalten"	1	2	7				Justizdirektion	Gerichte	Untersuchungsrichterämter											Interkonfessionell	3	"Reformierter Pfarrer aus Othmarsingen;
katholischer Pfarrer aus Brugg;
christ-katholischer Pfarrer aus Aarau"	Im Hause, Besuch freiwillig
AG95	AG	Lenzburg	Kantonale Strafanstalt Lenzburg		"Gefängnis;
Zuchthaus;
gerichtliche Verwahrung"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		280	6	220–240	20	3	"Gefängnis und Zuchthaus: ca. 240;
gerichtliche Verwahrung: ca. 40;
Männer: ca. 220–240;
Frauen: ca. 20;
Reformierte: ca. 130–150;
Katholiken: ca. 90–100;
Konfessionslos: ca. 20"	1	1	Nach Verfügung	1	6	7				Gerichte	Justizdirektionen	Administrativbehörden											Interkonfessionell	3	Reformierter Pfarrer von Ammerswil und katholischer Ortspfarrer, beide im Nebenamt	Im Hause, Besuche obligatorisch
AG98	AG	Olsberg	Staatliche Pestalozzistiftung Olsberg		"Erziehung schwererziehbarer Knaben und Jugendlicher;
Die meisten Jugendlichen kommen nach der Schulentlassung oder Konfirmation von Olsberg fort, jedoch bleiben diejenigen in der Anstalt bis zum 18. und 19. Altersjahr interniert, die in der Nähe eine Lehre begonnen haben."	3				#REF!					4		50	3	50		1	Knaben, männliche Jugendliche und Minderjährige	1	0	"Minimal 2 Jahre;
Aufnahmealter minimal 6 Jahre, maximal 16 Jahre"	1	9					Jugendgerichte	Fürsorgeämter												Interkonfessionell	3	"Reformierter Pfarrer aus Möhlin;
katholischer Pfarrer aus Rheinfelden;
christ-katholischer Pfarrer aus Kaiseraugst, alle im Nebenamt"	Alle 4-5 Wochen Besuch der Kirchen in den umliegenden Ortschaften
AI03	AI	Appenzell	Gefängnis im Rathaus		Untersuchungsgefängnis	5				#REF!	0	1	0	Staatliche, halboffene Anstalt	1			7			3	einige wenige Zellen	1	1	Je nach Verfahren	2						Untersuchungsrichter													Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholische Seelsorge durch Kapuzinerkloster Appenzell	Keine Gottesdienstmöglichkeit
AR01	AR	Gmünden b. Teufen	Zwangsarbeits- und Strafanstalt Gmünden		"Gefängnis;
Zwangsarbeitsanstalt;
Arbeitserziehungsanstalt;
Anstalt für administrative Versorgungen"	1	5			#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		45–55	3	40–45	5–10	3		1	1	Nach Einweisungsverfügung	1	5					Gerichte	Regierung des Kantons Appenzell Ausserrhoden												Interkonfessionell	3	Reformierter Pfarrer aus Stein und katholischer Pfarrer aus Teufen, ausserdem durch die Heilsarmee	"Im Hause, Besuch freiwillig;
Reformierte: 1–2 mal monatlich, Katholiken: an Feiertagen, sonst unregelmässig;
ausserdem jeden Morgen kurze Andacht"
AR02	AR	Herisau	Arbeits- und Erziehungsanstalt Kreckelhof		"Erziehungsanstalt;
Versorgungsanstalt"	1	3			#REF!	1	0	0	Offene Anstalt	4	Politische Gemeinde Herisau	25	2	25		1		1	0	"Nach Einweisungsverfügung;
Aufnahmealter minimal 18 Jahre, nach oben ohne Limite"	6	9	10				Gemeinderat Herisau	Vormundschaftsbehörden	Armenbehörden											Interkonfessionell, jedoch in der Regel keine katholischen Insassen	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Jeden Sonntag freiwilliger Kirchgang in Herisau
AR03	AR	Herisau	Appenzell Ausserrhodische Heil- und Pflegeanstalt Herisau		"Heil- und Pflegeanstalt;
Vom Kanton benützte Anstalt zur Internierung Unzurechenfähigen nach Art. 14/15 StGB."	6				#REF!	1	1	1	Staatliche Anstalt, geschlossene/halboffene/offene Anstalt	1			7			3	beschränkt	1	1	Nach ärztlicher, resp. Behördlicher Vorschrift	1	10					Gerichte	Vormundschaftsbehörden												#N/A	3	Reformierter und katholischer Ortspfarrer im Nebenamt	"Reformierte: im Hause, Besuch freiwillig, jeden Sonntag;
Katholiken: jeden Sonntag freiwilliger Besuch der Ortsgottesdienste"
AR04	AR	Lutzenberg	Lärchenheim Lutzenberg		"Heim für schwererziehbare, sittlich gefährdete, schutzbedürftige weibliche Jugendliche und Frauen;
Nacherziehung im System von Familiengruppen, sogenannten ""Clubs"". Jeder Club unter Leitung einer Heimmitarbeiterin;
Pflege des Familiensinns innerhalb einer grossen Hausgemeinschaft;
Beschäftigung im Heim oder in den Textil- und verwandten Industrien der Umgebung.
Angegliedert: Kinderhaus für Kleinkinder (durchschnittlich 10 Kinder). Die Mütter dieser Kleinkinder wohnen als Insassinnen im Heim.
Möglichkeit, sich nach gewisser Zeit zur Halb- resp. Vollpensionärin mit vermehrten Rechten emporzuarbeiten."	3				#REF!	0	1	0	Private, halboffene Anstalt	2	Herr und Frau Prf. Dr. phil. Hans Huggler, Lärchenheim, Lutzenberg	110	4		110	2	(nur weibl. Jugendliche und Frauen)	0	1	Minimal 2 Jahre	1	9	12				Amtsvormundschaften	Jugendgerichte	Fürsorgeämter											Reformiert	1	Durch den Anstaltsleiter	"Im Heim, Besuch obligatorisch;
jeden Sonntag;
ausserdem tägliche Andacht im Heim und gelegentlich obligatorischer Kirchgang im Ort"
BE01	BE	Hindelbank	Arbeits- und Strafanstalt Hindelbank		"Gefängnis;
Zuchthaus;
gerichtliche Verwahrung;
Verwahrung von Gewohnheitstrinkern;
Anstalt für HPA (Art. 14/17 StGB);
Anstalt für APG (Kt. Bern vom 1.12.1912)"	1	4	5		#REF!				Staatliche, halboffene/offene Anstalt	4		100	4		100	2		0	1	Ab 3 Monate bis lebenslänglich	1	7	8				Gerichte	Polizeidirektion des Kantons Bern	Strafvollzugsbehörde anderer Kantone	Administrativbehörden anderer Kantone										Interkonfessionell	3	"3 reformierte Anstaltspfarrer deutscher und französischer Sprache aus Bern, im Nebenamt;
1 katholischer Pfarrer aus Burgdorf im Nebenamt"	"Im Hause, Besuch freiwillig;
Reformierte: jeden 1. und 3. Sonntag im Monat in deutscher Sprache, jeden 4. Sonntag im Monat in französischer Sprache, ausserdem durch die Heilsarmee;
Katholiken: jeden 2. Dienstag im Monat (deutsch und französisch)"
BE07	BE	Witzwil-Gampelen	Arbeiterheim Tannenhof		"Arbeiterkolonie für Volljährige;
Vom Kanton benutzte Anstalt für administrative Versorgungen und Zwangsarbeitseinweisungen;
Übergangsheim für zu Entlassende nach Art. 14/17 und 44 StGB.
"	1	2			#REF!	1	0	0	Private, offene Anstalt	2		200	5	200		1		1	0	Minimal 1 Monat	6	9					Schutzaufsichtsbehörden	Kantonale Armendirektion Bern	Administrativbehörden	Soziale Fürsorgeämter des Kantons Bern										Interkonfessionell	3	Reformierter Pfarrer aus Gampelen und Cornaux Kapuzinerpater aus Fribourg und Le Landeron	"Im Hause, freiwillig;
gelegentlich;
ausserdem jeden Sonntag freiwilliger Kirchgang nach Gampelen"
BE02-e	BE	Witzwil	Arbeiterkolonie Nusshof		"Arbeiterkolonie für Freiwillige (sog. Kolonisten), Arbeitslose, bedingt Entlassene;
Uebergangsheim für zu Entlassende nach Art. 14/17 und 44 StGB.
"	2				#REF!				Staatliche, offene Anstalt	4		50	3	50		1		1	0	Keine	8	10					Polizeidirektion Bern	Vormundschaftsbehörden												Interkonfessionell	3	Wie Strafanstalt Witzwil, ausserdem durch reformierten Pfarrer aus Gampelen	Freiwillig in Witzwil oder in der Kirche Gampelen
BE02-c	BE	Witzwil	Arbeitserziehungsanstalt Lindenhof		"Arbeitserziehung nach Art. 43 StGB.;
Administrative Einweisungen"	1	3			#REF!	1	0	0	Staatlich, offene Anstalt	1		160	5	160		1		1	0	Minimal 1 Jahr, maximal 3 Jahre	1	10					Gerichte	Vormundschaftsbehörden												Interkonfessionell	3	Wie Strafanstalt Witzwil	"Im Hause, Besuch freiwillig;
Reformierte: jeden Sontag, abwechslungsweise deutsch und französisch;
Katholiken: alle 14 Tage, abwechslungsweise deutsch und französisch;
Greich.-Kath.: gelegentlich;
Israeliten: gelegentlich;
ausserdem für Reformierte Zusammenkünfte durch Heilsarmee und Junge Kirche"
